Results of cspell linter (version 4.1.3)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/spell_cspell/
-----------------------------------------------

❌ [ERROR] for workspace /tmp/lint
Linter raw log:
/tmp/lint/.nyc_output/processinfo/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:232 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/51c4845a-64af-4158-9eec-82b46f0c3322.json:1:386 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/52f87fd6-6b8b-4dc5-b4a8-9f17cbd54022.json:1:59 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/52f87fd6-6b8b-4dc5-b4a8-9f17cbd54022.json:1:144 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/52f87fd6-6b8b-4dc5-b4a8-9f17cbd54022.json:1:226 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:93 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:206 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:288 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/6dee075a-9f2b-4072-8646-141f3c4b9a66.json:1:442 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/index.json:1:311 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/index.json:1:441 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/index.json:1:569 - Unknown word (lanath)
/tmp/lint/.nyc_output/processinfo/index.json:1:696 - Unknown word (lanath)
/tmp/lint/README.md:1:16 - Unknown word (modifie)
/tmp/lint/README.md:8:2 - Unknown word (WASM)
/tmp/lint/README.md:12:60 - Unknown word (napi)
/tmp/lint/README.md:24:45 - Unknown word (funtion)
/tmp/lint/README.md:25:38 - Unknown word (entrypoint)
/tmp/lint/README.md:64:3 - Unknown word (Dependecies)
/tmp/lint/README.md:71:20 - Unknown word (mocka)
/tmp/lint/README.md:82:1 - Unknown word (mkdir)
/tmp/lint/doc/assets/css/main.css:314:13 - Unknown word (stylesheet)
/tmp/lint/doc/assets/css/main.css:390:38 - Unknown word (searchfield)
/tmp/lint/doc/assets/css/main.css:1562:12 - Unknown word (unshift)
/tmp/lint/doc/assets/css/main.css:1708:16 - Unknown word (unshift)
/tmp/lint/doc/assets/js/main.js:18:625 - Unknown word (customised)
/tmp/lint/doc/assets/js/main.js:18:12596 - Unknown word (serialisation)
/tmp/lint/doc/assets/js/main.js:18:12790 - Unknown word (serialised)
/tmp/lint/doc/assets/js/main.js:18:12910 - Unknown word (serialising)
/tmp/lint/doc/assets/js/main.js:18:14384 - Unknown word (serialised)
/tmp/lint/doc/assets/js/main.js:18:14401 - Unknown word (serialised)
/tmp/lint/doc/assets/js/main.js:18:15431 - Unknown word (serialising)
/tmp/lint/doc/assets/js/main.js:18:15501 - Unknown word (serialised)
/tmp/lint/doc/assets/js/main.js:18:19783 - Unknown word (serialisation)
/tmp/lint/doc/assets/js/main.js:18:21178 - Unknown word (upsert)
/tmp/lint/doc/assets/js/main.js:18:22831 - Unknown word (upsert)
/tmp/lint/doc/assets/js/main.js:18:23295 - Unknown word (upsert)
/tmp/lint/doc/assets/js/main.js:18:26118 - Unknown word (ational)
/tmp/lint/doc/assets/js/main.js:18:26148 - Unknown word (tional)
/tmp/lint/doc/assets/js/main.js:18:26161 - Unknown word (tion)
/tmp/lint/doc/assets/js/main.js:18:26178 - Unknown word (enci)
/tmp/lint/doc/assets/js/main.js:18:26189 - Unknown word (ence)
/tmp/lint/doc/assets/js/main.js:18:26206 - Unknown word (anci)
/tmp/lint/doc/assets/js/main.js:18:26217 - Unknown word (ance)
/tmp/lint/doc/assets/js/main.js:18:26234 - Unknown word (izer)
/tmp/lint/doc/assets/js/main.js:18:26287 - Unknown word (alli)
/tmp/lint/doc/assets/js/main.js:18:26313 - Unknown word (entli)
/tmp/lint/doc/assets/js/main.js:18:26365 - Unknown word (ousli)
/tmp/lint/doc/assets/js/main.js:18:26393 - Unknown word (ization)
/tmp/lint/doc/assets/js/main.js:18:26423 - Unknown word (ation)
/tmp/lint/doc/assets/js/main.js:18:26451 - Unknown word (ator)
/tmp/lint/doc/assets/js/main.js:18:26478 - Unknown word (alism)
/tmp/lint/doc/assets/js/main.js:18:26505 - Unknown word (iveness)
/tmp/lint/doc/assets/js/main.js:18:26565 - Unknown word (ousness)
/tmp/lint/doc/assets/js/main.js:18:26595 - Unknown word (aliti)
/tmp/lint/doc/assets/js/main.js:18:26622 - Unknown word (iviti)
/tmp/lint/doc/assets/js/main.js:18:26650 - Unknown word (biliti)
/tmp/lint/doc/assets/js/main.js:18:26679 - Unknown word (logi)
/tmp/lint/doc/assets/js/main.js:18:26734 - Unknown word (icate)
/tmp/lint/doc/assets/js/main.js:18:26761 - Unknown word (ative)
/tmp/lint/doc/assets/js/main.js:18:26786 - Unknown word (alize)
/tmp/lint/doc/assets/js/main.js:18:26813 - Unknown word (iciti)
/tmp/lint/doc/assets/js/main.js:18:26840 - Unknown word (ical)
/tmp/lint/doc/assets/js/main.js:18:26926 - Unknown word (aeiou)
/tmp/lint/doc/assets/js/main.js:18:26970 - Unknown word (aeiouy)
/tmp/lint/doc/assets/js/main.js:18:27016 - Unknown word (aeiouy)
/tmp/lint/doc/assets/js/main.js:18:27069 - Unknown word (aeiou)
/tmp/lint/doc/assets/js/main.js:18:27323 - Unknown word (VCVC)
/tmp/lint/doc/assets/js/main.js:18:27773 - Unknown word (aeiouylsz)
/tmp/lint/doc/assets/js/main.js:18:27844 - Unknown word (aeiouwxy)
/tmp/lint/doc/assets/js/main.js:18:27884 - Unknown word (aeiou)
/tmp/lint/doc/assets/js/main.js:18:27918 - Unknown word (ational)
/tmp/lint/doc/assets/js/main.js:18:27926 - Unknown word (tional)
/tmp/lint/doc/assets/js/main.js:18:27933 - Unknown word (enci)
/tmp/lint/doc/assets/js/main.js:18:27938 - Unknown word (anci)
/tmp/lint/doc/assets/js/main.js:18:27943 - Unknown word (izer)
/tmp/lint/doc/assets/js/main.js:18:27952 - Unknown word (alli)
/tmp/lint/doc/assets/js/main.js:18:27957 - Unknown word (entli)
/tmp/lint/doc/assets/js/main.js:18:27967 - Unknown word (ousli)
/tmp/lint/doc/assets/js/main.js:18:27973 - Unknown word (ization)
/tmp/lint/doc/assets/js/main.js:18:27981 - Unknown word (ation)
/tmp/lint/doc/assets/js/main.js:18:27987 - Unknown word (ator)
/tmp/lint/doc/assets/js/main.js:18:27992 - Unknown word (alism)
/tmp/lint/doc/assets/js/main.js:18:27998 - Unknown word (iveness)
/tmp/lint/doc/assets/js/main.js:18:28014 - Unknown word (ousness)
/tmp/lint/doc/assets/js/main.js:18:28022 - Unknown word (aliti)
/tmp/lint/doc/assets/js/main.js:18:28028 - Unknown word (iviti)
/tmp/lint/doc/assets/js/main.js:18:28034 - Unknown word (biliti)
/tmp/lint/doc/assets/js/main.js:18:28041 - Unknown word (logi)
/tmp/lint/doc/assets/js/main.js:18:28074 - Unknown word (icate)
/tmp/lint/doc/assets/js/main.js:18:28080 - Unknown word (ative)
/tmp/lint/doc/assets/js/main.js:18:28086 - Unknown word (alize)
/tmp/lint/doc/assets/js/main.js:18:28092 - Unknown word (iciti)
/tmp/lint/doc/assets/js/main.js:18:28098 - Unknown word (ical)
/tmp/lint/doc/assets/js/main.js:18:28143 - Unknown word (ance)
/tmp/lint/doc/assets/js/main.js:18:28148 - Unknown word (ence)
/tmp/lint/doc/assets/js/main.js:18:28164 - Unknown word (ible)
/tmp/lint/doc/assets/js/main.js:18:28173 - Unknown word (ement)
/tmp/lint/doc/assets/js/main.js:18:28179 - Unknown word (ment)
/tmp/lint/doc/assets/js/main.js:18:28352 - Unknown word (aeiouwxy)
/tmp/lint/doc/assets/js/main.js:18:28457 - Unknown word (firstch)
/tmp/lint/doc/assets/js/main.js:18:28559 - Unknown word (firstch)
/tmp/lint/doc/assets/js/main.js:18:28593 - Unknown word (firstch)
/tmp/lint/doc/assets/js/main.js:18:28624 - Unknown word (firstch)
/tmp/lint/doc/assets/js/main.js:18:35994 - Unknown word (minimised)
/tmp/lint/doc/assets/js/main.js:18:43148 - Unknown word (minimisation)
/tmp/lint/doc/assets/js/main.js:18:43548 - Unknown word (optimised)
/tmp/lint/doc/assets/js/main.js:18:44803 - Unknown word (optimised)
/tmp/lint/doc/assets/js/main.js:18:59450 - Unknown word (upsert)
/tmp/lint/doc/assets/js/main.js:18:71474 - Unknown word (normalisation)
/tmp/lint/doc/assets/js/main.js:18:71584 - Unknown word (normalisation)
/tmp/lint/doc/assets/js/main.js:18:71630 - Unknown word (normalise)
/tmp/lint/doc/assets/js/main.js:18:78182 - Unknown word (serialisation)
/tmp/lint/doc/assets/js/main.js:18:79452 - Unknown word (customise)
/tmp/lint/doc/assets/js/main.js:18:93581 - Unknown word (tokenising)
/tmp/lint/doc/assets/js/main.js:18:97427 - Unknown word (unrecognised)
/tmp/lint/doc/assets/js/main.js:18:98507 - Unknown word (unrecognised)
/tmp/lint/doc/assets/js/main.js:139:409 - Unknown word (trottle)
/tmp/lint/doc/assets/js/main.js:139:481 - Unknown word (trottle)
/tmp/lint/doc/assets/js/main.js:139:2184 - Unknown word (trottle)
/tmp/lint/doc/assets/js/main.js:139:2334 - Unknown word (trottle)
/tmp/lint/doc/assets/js/main.js:161:1239 - Unknown word (supressed)
/tmp/lint/doc/assets/js/search.js:1:4196 - Unknown word (isjust)
/tmp/lint/doc/assets/js/search.js:1:4374 - Unknown word (isnothing)
