Results of stylelint linter (version 13.9.0)
See documentation on https://nvuillam.github.io/mega-linter/descriptors/css_stylelint/
-----------------------------------------------

❌ [ERROR] doc/assets/css/main.css
    
    doc/assets/css/main.css
      423:114  ✖  Expected selector ".col-10 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                              no-descending-specificity             
      423:136  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:138  ✖  Expected selector ".col-9 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:159  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:161  ✖  Expected selector ".col-8 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:182  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:184  ✖  Expected selector ".col-7 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:205  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:207  ✖  Expected selector ".col-6 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:228  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:230  ✖  Expected selector ".col-5 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:251  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:253  ✖  Expected selector ".col-4 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:274  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:276  ✖  Expected selector ".col-3 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:297  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:299  ✖  Expected selector ".col-2 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      423:320  ✖  Expected newline after ","                                                                                                                                                                                                                                                                selector-list-comma-newline-after     
      423:322  ✖  Expected selector ".col-1 > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child"                                                                                                                                                                               no-descending-specificity             
      425:1    ✖  Expected selector ".tsd-panel > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                             no-descending-specificity             
      426:1    ✖  Expected selector ".col > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                   no-descending-specificity             
      427:1    ✖  Expected selector ".col-11 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                no-descending-specificity             
      428:1    ✖  Expected selector ".col-10 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                no-descending-specificity             
      429:1    ✖  Expected selector ".col-9 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      430:1    ✖  Expected selector ".col-8 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      431:1    ✖  Expected selector ".col-7 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      432:1    ✖  Expected selector ".col-6 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      433:1    ✖  Expected selector ".col-5 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      434:1    ✖  Expected selector ".col-4 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      435:1    ✖  Expected selector ".col-3 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      436:1    ✖  Expected selector ".col-2 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      437:1    ✖  Expected selector ".col-1 > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child"                                                                                                                                                 no-descending-specificity             
      439:1    ✖  Expected selector ".tsd-panel > :first-child > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child > :first-child"                                                                                                               no-descending-specificity             
      440:1    ✖  Expected selector ".col > :first-child > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child > :first-child"                                                                                                                     no-descending-specificity             
      441:1    ✖  Expected selector ".col-11 > :first-child > :first-child > :first-child" to come before selector "ul.tsd-descriptions > li > :first-child > :first-child > :first-child"                                                                                                                  no-descending-specificity             
